Alpha: 0.01, Mean Test Score: 0.8652186421173762, Std Test Score: 0.005034522439585742
Alpha: 0.01006221999583791, Mean Test Score: 0.8652186421173762, Std Test Score: 0.005034522439585742
Alpha: 0.010124827124464029, Mean Test Score: 0.8652186421173762, Std Test Score: 0.005034522439585742
Alpha: 0.0101878237946184, Mean Test Score: 0.8652186421173762, Std Test Score: 0.005034522439585742
Alpha: 0.01025121243002825, Mean Test Score: 0.8652186421173762, Std Test Score: 0.005034522439585742
Alpha: 0.010314995469501242, Mean Test Score: 0.8652186421173762, Std Test Score: 0.005034522439585742
Alpha: 0.010379175367019284, Mean Test Score: 0.8652186421173762, Std Test Score: 0.005034522439585742
Alpha: 0.010443754591832976, Mean Test Score: 0.8652186421173762, Std Test Score: 0.005034522439585742
Alpha: 0.010508735628556575, Mean Test Score: 0.8652186421173762, Std Test Score: 0.005034522439585742
Alpha: 0.010574120977263622, Mean Test Score: 0.8652186421173762, Std Test Score: 0.005034522439585742
Alpha: 0.010639913153583116, Mean Test Score: 0.8652186421173762, Std Test Score: 0.005034522439585742
Alpha: 0.010706114688796281, Mean Test Score: 0.8652186421173762, Std Test Score: 0.005034522439585742
Alpha: 0.01077272812993399, Mean Test Score: 0.8652186421173762, Std Test Score: 0.005034522439585742
Alpha: 0.010839756039874736, Mean Test Score: 0.8652186421173762, Std Test Score: 0.005034522439585742
Alpha: 0.010907200997443231, Mean Test Score: 0.8653624856156501, Std Test Score: 0.0048906789413118434
Alpha: 0.010975065597509647, Mean Test Score: 0.8653624856156501, Std Test Score: 0.0048906789413118434
Alpha: 0.011043352451089434, Mean Test Score: 0.8653624856156501, Std Test Score: 0.0048906789413118434
Alpha: 0.01111206418544377, Mean Test Score: 0.8653624856156501, Std Test Score: 0.0048906789413118434
Alpha: 0.011181203444180656, Mean Test Score: 0.8653624856156501, Std Test Score: 0.0048906789413118434
Alpha: 0.011250772887356637, Mean Test Score: 0.8653624856156501, Std Test Score: 0.0048906789413118434
Alpha: 0.011320775191579095, Mean Test Score: 0.8653624856156501, Std Test Score: 0.0048906789413118434
Alpha: 0.011391213050109296, Mean Test Score: 0.8653624856156501, Std Test Score: 0.0048906789413118434
Alpha: 0.011462089172965949, Mean Test Score: 0.8653624856156501, Std Test Score: 0.0048906789413118434
Alpha: 0.011533406287029518, Mean Test Score: 0.8653624856156501, Std Test Score: 0.0048906789413118434
Alpha: 0.011605167136147112, Mean Test Score: 0.8653624856156501, Std Test Score: 0.0048906789413118434
Alpha: 0.011677374481238042, Mean Test Score: 0.865506329113924, Std Test Score: 0.005034522439585742
Alpha: 0.011750031100400076, Mean Test Score: 0.865506329113924, Std Test Score: 0.005034522439585742
Alpha: 0.0118231397890163, Mean Test Score: 0.865506329113924, Std Test Score: 0.005034522439585742
Alpha: 0.011896703359862662, Mean Test Score: 0.865506329113924, Std Test Score: 0.005034522439585742
Alpha: 0.011970724643216217, Mean Test Score: 0.865506329113924, Std Test Score: 0.005034522439585742
Alpha: 0.012045206486963982, Mean Test Score: 0.865506329113924, Std Test Score: 0.005034522439585742
Alpha: 0.012120151756712548, Mean Test Score: 0.8653624856156501, Std Test Score: 0.005178365937859641
Alpha: 0.012195563335898302, Mean Test Score: 0.8653624856156501, Std Test Score: 0.005178365937859641
Alpha: 0.012271444125898357, Mean Test Score: 0.8652186421173763, Std Test Score: 0.005322209436133485
Alpha: 0.012347797046142209, Mean Test Score: 0.8652186421173763, Std Test Score: 0.005322209436133485
Alpha: 0.012424625034224045, Mean Test Score: 0.8652186421173763, Std Test Score: 0.005322209436133485
Alpha: 0.012501931046015746, Mean Test Score: 0.8652186421173763, Std Test Score: 0.005322209436133485
Alpha: 0.012579718055780637, Mean Test Score: 0.8652186421173763, Std Test Score: 0.005322209436133485
Alpha: 0.012657989056287918, Mean Test Score: 0.8652186421173763, Std Test Score: 0.005322209436133485
Alpha: 0.01273674705892777, Mean Test Score: 0.8652186421173763, Std Test Score: 0.005322209436133485
Alpha: 0.012815995093827269, Mean Test Score: 0.8652186421173763, Std Test Score: 0.005322209436133485
Alpha: 0.012895736209966934, Mean Test Score: 0.8652186421173763, Std Test Score: 0.005322209436133485
Alpha: 0.012975973475298027, Mean Test Score: 0.8652186421173763, Std Test Score: 0.005322209436133485
Alpha: 0.013056709976860618, Mean Test Score: 0.8652186421173763, Std Test Score: 0.005322209436133485
Alpha: 0.013137948820902324, Mean Test Score: 0.8652186421173763, Std Test Score: 0.005322209436133485
Alpha: 0.013219693132997843, Mean Test Score: 0.8652186421173763, Std Test Score: 0.005322209436133485
Alpha: 0.013301946058169206, Mean Test Score: 0.8652186421173763, Std Test Score: 0.005322209436133485
Alpha: 0.013384710761006743, Mean Test Score: 0.8653624856156501, Std Test Score: 0.005466052934407328
Alpha: 0.013467990425790888, Mean Test Score: 0.8653624856156501, Std Test Score: 0.005466052934407328
Alpha: 0.013551788256614666, Mean Test Score: 0.8653624856156501, Std Test Score: 0.005466052934407328
Alpha: 0.013636107477506943, Mean Test Score: 0.865506329113924, Std Test Score: 0.005609896432681227
Alpha: 0.013720951332556519, Mean Test Score: 0.865506329113924, Std Test Score: 0.005609896432681227
Alpha: 0.013806323086036909, Mean Test Score: 0.865506329113924, Std Test Score: 0.005609896432681227
Alpha: 0.013892226022531913, Mean Test Score: 0.865506329113924, Std Test Score: 0.005609896432681227
Alpha: 0.013978663447062042, Mean Test Score: 0.865506329113924, Std Test Score: 0.005609896432681227
Alpha: 0.014065638685211615, Mean Test Score: 0.865506329113924, Std Test Score: 0.005609896432681227
Alpha: 0.014153155083256755, Mean Test Score: 0.865506329113924, Std Test Score: 0.005609896432681227
Alpha: 0.014241216008294113, Mean Test Score: 0.865506329113924, Std Test Score: 0.005609896432681227
Alpha: 0.014329824848370394, Mean Test Score: 0.865506329113924, Std Test Score: 0.005609896432681227
Alpha: 0.01441898501261275, Mean Test Score: 0.865506329113924, Std Test Score: 0.005609896432681227
Alpha: 0.014508699931359921, Mean Test Score: 0.865506329113924, Std Test Score: 0.005609896432681227
Alpha: 0.01459897305629419, Mean Test Score: 0.865506329113924, Std Test Score: 0.005609896432681227
Alpha: 0.014689807860574226, Mean Test Score: 0.865506329113924, Std Test Score: 0.005609896432681227
Alpha: 0.014781207838968694, Mean Test Score: 0.865506329113924, Std Test Score: 0.005609896432681227
Alpha: 0.014873176507990684, Mean Test Score: 0.8656501726121979, Std Test Score: 0.005753739930955126
Alpha: 0.01496571740603305, Mean Test Score: 0.8657940161104718, Std Test Score: 0.00589758342922897
Alpha: 0.015058834093504527, Mean Test Score: 0.8657940161104718, Std Test Score: 0.00589758342922897
Alpha: 0.015152530152966689, Mean Test Score: 0.8657940161104718, Std Test Score: 0.00589758342922897
Alpha: 0.015246809189271833, Mean Test Score: 0.8657940161104718, Std Test Score: 0.00589758342922897
Alpha: 0.015341674829701621, Mean Test Score: 0.8657940161104718, Std Test Score: 0.00589758342922897
Alpha: 0.01543713072410668, Mean Test Score: 0.8659378596087457, Std Test Score: 0.005753739930955126
Alpha: 0.015533180545047005, Mean Test Score: 0.8659378596087457, Std Test Score: 0.005753739930955126
Alpha: 0.015629827987933238, Mean Test Score: 0.8660817031070196, Std Test Score: 0.005609896432681227
Alpha: 0.01572707677116888, Mean Test Score: 0.8660817031070196, Std Test Score: 0.005609896432681227
Alpha: 0.01582493063629335, Mean Test Score: 0.8660817031070196, Std Test Score: 0.005609896432681227
Alpha: 0.015923393348125883, Mean Test Score: 0.8660817031070196, Std Test Score: 0.005609896432681227
Alpha: 0.01602246869491047, Mean Test Score: 0.8660817031070196, Std Test Score: 0.005609896432681227
Alpha: 0.016122160488461504, Mean Test Score: 0.8660817031070196, Std Test Score: 0.005609896432681227
Alpha: 0.016222472564310524, Mean Test Score: 0.8660817031070196, Std Test Score: 0.005609896432681227
Alpha: 0.01632340878185373, Mean Test Score: 0.8660817031070196, Std Test Score: 0.005609896432681227
Alpha: 0.01642497302450047, Mean Test Score: 0.8660817031070196, Std Test Score: 0.005609896432681227
Alpha: 0.01652716919982269, Mean Test Score: 0.8662255466052935, Std Test Score: 0.005753739930955126
Alpha: 0.016630001239705237, Mean Test Score: 0.8663693901035674, Std Test Score: 0.005897583429229026
Alpha: 0.016733473100497123, Mean Test Score: 0.8663693901035674, Std Test Score: 0.005897583429229026
Alpha: 0.016837588763163793, Mean Test Score: 0.8663693901035674, Std Test Score: 0.005897583429229026
Alpha: 0.016942352233440247, Mean Test Score: 0.8663693901035674, Std Test Score: 0.005897583429229026
Alpha: 0.017047767541985153, Mean Test Score: 0.8663693901035674, Std Test Score: 0.005897583429229026
Alpha: 0.017153838744535948, Mean Test Score: 0.8663693901035674, Std Test Score: 0.005897583429229026
Alpha: 0.017260569922064876, Mean Test Score: 0.8663693901035674, Std Test Score: 0.005897583429229026
Alpha: 0.017367965180935956, Mean Test Score: 0.8663693901035674, Std Test Score: 0.005897583429229026
Alpha: 0.017476028653063032, Mean Test Score: 0.8663693901035674, Std Test Score: 0.005897583429229026
Alpha: 0.017584764496068717, Mean Test Score: 0.8663693901035674, Std Test Score: 0.005897583429229026
Alpha: 0.017694176893444317, Mean Test Score: 0.8663693901035674, Std Test Score: 0.005897583429229026
Alpha: 0.01780427005471085, Mean Test Score: 0.8663693901035674, Std Test Score: 0.005897583429229026
Alpha: 0.01791504821558097, Mean Test Score: 0.8663693901035674, Std Test Score: 0.005897583429229026
Alpha: 0.01802651563812191, Mean Test Score: 0.8663693901035674, Std Test Score: 0.005897583429229026
Alpha: 0.018138676610919512, Mean Test Score: 0.8663693901035674, Std Test Score: 0.005897583429229026
Alpha: 0.01825153544924317, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.018365096495211914, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.018479364117961403, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.01859434271381208, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.018710036706438293, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.018826450547038465, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.018943588714506396, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.01906145571560357, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.019180056085132503, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.019299394386111283, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.019419475209949095, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.019540303176622833, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.019661882934854928, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.01978421916229215, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.01990731656568556, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.02003117988107165, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.02015581387395453, Mean Test Score: 0.8665132336018412, Std Test Score: 0.006041426927502869
Alpha: 0.02028122333948924, Mean Test Score: 0.8666570771001151, Std Test Score: 0.00589758342922897
Alpha: 0.02040741310266631, Mean Test Score: 0.8666570771001151, Std Test Score: 0.00589758342922897
Alpha: 0.020534388018497357, Mean Test Score: 0.8666570771001151, Std Test Score: 0.00589758342922897
Alpha: 0.02066215297220185, Mean Test Score: 0.8666570771001151, Std Test Score: 0.00589758342922897
Alpha: 0.020790712879395122, Mean Test Score: 0.8668009205983889, Std Test Score: 0.005753739930955126
Alpha: 0.020920072686277436, Mean Test Score: 0.8668009205983889, Std Test Score: 0.005753739930955126
Alpha: 0.021050237369824327, Mean Test Score: 0.8668009205983889, Std Test Score: 0.005753739930955126
Alpha: 0.021181211937978086, Mean Test Score: 0.8668009205983889, Std Test Score: 0.005753739930955126
Alpha: 0.02131300142984037, Mean Test Score: 0.8668009205983889, Std Test Score: 0.005753739930955126
Alpha: 0.021445610915866182, Mean Test Score: 0.8668009205983889, Std Test Score: 0.005753739930955126
Alpha: 0.021579045498058842, Mean Test Score: 0.8668009205983889, Std Test Score: 0.005753739930955126
Alpha: 0.02171331031016637, Mean Test Score: 0.8668009205983889, Std Test Score: 0.005753739930955126
Alpha: 0.021848410517878957, Mean Test Score: 0.8668009205983889, Std Test Score: 0.005753739930955126
Alpha: 0.021984351319027692, Mean Test Score: 0.8668009205983889, Std Test Score: 0.005753739930955126
Alpha: 0.022121137943784595, Mean Test Score: 0.8668009205983889, Std Test Score: 0.005753739930955126
Alpha: 0.022258775654863814, Mean Test Score: 0.8668009205983889, Std Test Score: 0.005753739930955126
Alpha: 0.02239726974772407, Mean Test Score: 0.8668009205983889, Std Test Score: 0.005753739930955126
Alpha: 0.022536625550772463, Mean Test Score: 0.8669447640966628, Std Test Score: 0.005897583429229026
Alpha: 0.022676848425569433, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006041426927502869
Alpha: 0.022817943767035012, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006041426927502869
Alpha: 0.022959917003656467, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.023102773597697104, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.02324651904540639, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.023391158877231494, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00647295742232451
Alpha: 0.023536698658030028, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00647295742232451
Alpha: 0.023683143987284102, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00647295742232451
Alpha: 0.023830500499315843, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00647295742232451
Alpha: 0.023978773863504128, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.024127969784502663, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.02427809400245957, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.02442915229323811, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.024581150468639016, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.024734094376623987, Mean Test Score: 0.8672324510932106, Std Test Score: 0.006185270425776768
Alpha: 0.024887989901540786, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.025042842964349575, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.0251986595228507, Mean Test Score: 0.8670886075949367, Std Test Score: 0.006329113924050611
Alpha: 0.025355445571913965, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00647295742232451
Alpha: 0.02551320714370926, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.025671950307938587, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.02583168117206968, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006329113924050667
Alpha: 0.02599240588157093, Mean Test Score: 0.8675201380897584, Std Test Score: 0.00647295742232451
Alpha: 0.02615413062014779, Mean Test Score: 0.8675201380897584, Std Test Score: 0.00647295742232451
Alpha: 0.02631686160998076, Mean Test Score: 0.8675201380897584, Std Test Score: 0.00647295742232451
Alpha: 0.026480605111964758, Mean Test Score: 0.8675201380897584, Std Test Score: 0.00647295742232451
Alpha: 0.02664536742594993, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.026811154890984148, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.026977973885556818, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.02714583082784427, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.027314732175956775, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.027484684428186953, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.027655694123259755, Mean Test Score: 0.8678078250863062, Std Test Score: 0.00647295742232451
Alpha: 0.027827767840584126, Mean Test Score: 0.8678078250863062, Std Test Score: 0.00647295742232451
Alpha: 0.028000912200506083, Mean Test Score: 0.8678078250863062, Std Test Score: 0.00647295742232451
Alpha: 0.028175133864563398, Mean Test Score: 0.8678078250863062, Std Test Score: 0.00647295742232451
Alpha: 0.028350439535741977, Mean Test Score: 0.8678078250863062, Std Test Score: 0.00647295742232451
Alpha: 0.028526835958733652, Mean Test Score: 0.8678078250863062, Std Test Score: 0.00647295742232451
Alpha: 0.028704329920195778, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.02888292824901223, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.02906263781655625, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.02924346553695474, Mean Test Score: 0.8676639815880323, Std Test Score: 0.006329113924050611
Alpha: 0.029425418367354274, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.029608503308188826, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.029792727403449064, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
Alpha: 0.029978097740953318, Mean Test Score: 0.8675201380897584, Std Test Score: 0.006185270425776768
